i,n,m,k,num_threads,multiplier,iterations,time_us,stddev_us
214,100,1000,10,4,Collapse2Multiplier,4,1417.250000,31.204967
215,100,1000,10,4,Collapse3Multiplier,4,1920.000000,32.365105
216,100,1000,10,4,DefaultMultiplierIJKTranspose,4,2001.000000,28.521921
217,100,1000,10,4,DefaultMultiplierIJKTransposeCached,4,1474.750000,19.202864
218,100,1000,10,16,DefaultMultiplierIJK,4,1477.500000,191.565262
219,100,1000,10,16,DefaultMultiplierIJKCached,4,885.500000,72.057266
220,100,1000,10,16,DefaultMultiplierJIK,4,1088.250000,41.112652
221,100,1000,10,16,Collapse2Multiplier,4,798.750000,65.663445
222,100,1000,10,16,Collapse3Multiplier,4,956.250000,11.366068
223,100,1000,10,16,DefaultMultiplierIJKTranspose,4,1210.000000,108.692223
224,100,1000,10,16,DefaultMultiplierIJKTransposeCached,4,795.500000,9.233092
225,100,1000,100,4,DefaultMultiplierIJK,4,17251.000000,165.891525
226,100,1000,100,4,DefaultMultiplierIJKCached,4,11616.250000,92.086914
227,100,1000,100,4,DefaultMultiplierJIK,4,17461.250000,43.817806
228,100,1000,100,4,Collapse2Multiplier,4,11824.500000,333.058563
229,100,1000,100,4,Collapse3Multiplier,4,16874.500000,97.652443
230,100,1000,100,4,DefaultMultiplierIJKTranspose,4,16599.250000,114.821602
231,100,1000,100,4,DefaultMultiplierIJKTransposeCached,4,11366.000000,142.407867
232,100,1000,100,16,DefaultMultiplierIJK,4,11581.750000,201.057205
233,100,1000,100,16,DefaultMultiplierIJKCached,4,7731.750000,151.986847
234,100,1000,100,16,DefaultMultiplierJIK,4,11631.000000,328.121918
235,100,1000,100,16,Collapse2Multiplier,4,7918.500000,173.769958
236,100,1000,100,16,Collapse3Multiplier,4,11623.250000,509.556671
237,100,1000,100,16,DefaultMultiplierIJKTranspose,4,11115.500000,354.468628
238,100,1000,100,16,DefaultMultiplierIJKTransposeCached,4,7596.000000,279.442291
239,100,1000,1000,4,DefaultMultiplierIJK,4,180947.250000,7760.643066
240,100,1000,1000,4,DefaultMultiplierIJKCached,4,147768.250000,11911.997070
241,100,1000,1000,4,DefaultMultiplierJIK,4,236963.750000,14149.211914
242,100,1000,1000,4,Collapse2Multiplier,4,156805.000000,9900.677734
243,100,1000,1000,4,Collapse3Multiplier,4,208524.000000,24254.564453
244,100,1000,1000,4,DefaultMultiplierIJKTranspose,4,167781.750000,119.733040
245,100,1000,1000,4,DefaultMultiplierIJKTransposeCached,4,119968.500000,925.237244
246,100,1000,1000,16,DefaultMultiplierIJK,4,175929.250000,24556.867188
247,100,1000,1000,16,DefaultMultiplierIJKCached,4,98476.750000,4352.117676
248,100,1000,1000,16,DefaultMultiplierJIK,4,151839.750000,16431.804688
249,100,1000,1000,16,Collapse2Multiplier,4,101382.750000,3797.633057
250,100,1000,1000,16,Collapse3Multiplier,4,138763.500000,3146.431641
251,100,1000,1000,16,DefaultMultiplierIJKTranspose,4,121655.500000,3580.569824
252,100,1000,1000,16,DefaultMultiplierIJKTransposeCached,4,87646.750000,3368.370605
253,1000,10,10,4,DefaultMultiplierIJK,4,168.250000,28.145826
254,1000,10,10,4,DefaultMultiplierIJKCached,4,112.500000,6.652067
255,1000,10,10,4,DefaultMultiplierJIK,4,153.250000,19.828957
256,1000,10,10,4,Collapse2Multiplier,4,109.500000,5.315073
257,1000,10,10,4,Collapse3Multiplier,4,131.000000,0.000000
258,1000,10,10,4,DefaultMultiplierIJKTranspose,4,150.750000,12.891373
